Date;Movement type;Payment reference;Amount (in user currency);Fees (in user currency);Balance (in user currency);Status;Channel
09-11-2017;Deposit;Card;20;0,4;19,99;2;IPHONEAPP_BETCLIC.FR
05-11-2017;Deposit;Card;20;0,4;19,99;2;IPHONEAPP_BETCLIC.FR
06-10-2017;Deposit;Card;100;0;99,99;2;IPHONEAPP_BETCLIC.FR
05-10-2017;Deposit;Card;50;1;49,99;2;IPHONEAPP_BETCLIC.FR
26-09-2017;Deposit;Card;20;0,4;19,99;2;IPHONEAPP_BETCLIC.FR
12-09-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
10-09-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
03-09-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
02-09-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
27-08-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
23-08-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
20-08-2017;Deposit;Card;25;0,5;25;2;IPHONEAPP_BETCLIC.FR
19-08-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
18-08-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
17-08-2017;Withdrawal;Wire transfert;-110;0;23,4;2;IPHONEAPP_BETCLIC.FR
13-08-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
05-05-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
16-04-2017;Deposit;Card;10;0,2;10,01;2;IPHONEAPP_BETCLIC.FR
16-04-2017;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
15-04-2017;Deposit;Card;22;0,44;22;2;IPHONEAPP_BETCLIC.FR
13-04-2017;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
08-04-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
20-03-2017;Withdrawal;Wire transfert;-55;0;4,85;2;IPHONEAPP_BETCLIC.FR
18-03-2017;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
11-03-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
09-03-2017;Withdrawal;Wire transfert;-80;0;10;2;IPHONEAPP_BETCLIC.FR
24-02-2017;Withdrawal;Wire transfert;-30;0;0;2;IPHONEAPP_BETCLIC.FR
18-02-2017;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
;;;;;;;
15-02-2017;Deposit;Card;10;0,2;10,8;2;IPHONEAPP_BETCLIC.FR
10-02-2017;Deposit;Card;20;0,4;20,02;2;IPHONEAPP_BETCLIC.FR
03-01-2017;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
27-11-2016;Withdrawal;Wire transfert;-50;0;0;2;IPHONEAPP_BETCLIC.FR
22-11-2016;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
19-11-2016;Withdrawal;Wire transfert;-20;0;20,8;2;IPHONEAPP_BETCLIC.FR
19-11-2016;Deposit;Card;20;0,4;20;2;IPHONEAPP_BETCLIC.FR
22-10-2016;Deposit;Card;20;0,4;20;2;IPADAPP_BETCLIC.FR
16-10-2016;Deposit;Card;19,4;0,39;20;2;IPADAPP_BETCLIC.FR
29-09-2016;Deposit;Card;25;0,5;25;2;IPADAPP_BETCLIC.FR
27-09-2016;Deposit;Card;12;0,24;12;2;IPADAPP_BETCLIC.FR
14-09-2016;Deposit;Card;10;0,2;10;2;WEB_BETCLIC.FR
13-09-2016;Deposit;Card;10;0,2;10,01;2;WEB_BETCLIC.FR
27-08-2016;Deposit;Card;10;0,2;10,02;2;IPHONEAPP_BETCLIC.FR
12-08-2016;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
21-06-2016;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
09-03-2016;Deposit;Card;10;0,2;10,02;2;IPHONEAPP_BETCLIC.FR
04-03-2016;Deposit;Card;10;0,2;10,02;2;IPHONEAPP_BETCLIC.FR
23-02-2016;Deposit;Card;10;0,2;10;2;IPHONEAPP_BETCLIC.FR
19-02-2016;Withdrawal;Wire transfert;-150;0;10;2;
10-02-2016;Deposit;Card;100;0;100;2;IPHONEAPP_BETCLIC.FR
;;;;;;;
